,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
156,2010-08-20,4224032,1927751124,457.0,461.5,453.0,453.0,-5.0,3122
157,2010-08-23,5790043,2608104807,450.0,455.0,446.0,448.0,-5.0,4326
158,2010-08-24,4429523,1997261850,453.0,456.0,447.0,447.0,-1.0,3052
159,2010-08-25,10436862,4559373608,446.0,446.0,431.0,431.0,-16.0,6614
160,2010-08-26,4825347,2115114027,433.0,443.5,433.0,438.0,7.0,3616
161,2010-08-27,4939682,2160976216,441.0,444.0,433.0,436.5,-1.5,4015
162,2010-08-30,6882030,2973440300,435.0,436.5,428.0,435.5,-1.0,5187
163,2010-08-31,6213614,2699682933,430.5,441.5,428.0,436.5,1.0,4794
164,2010-09-01,7202002,3151804876,436.5,440.5,433.0,437.5,1.0,4300
165,2010-09-02,5905866,2623924370,445.0,445.5,441.5,445.0,7.5,4602
166,2010-09-03,20590725,9694807375,452.0,476.0,452.0,475.0,30.0,13322
167,2010-09-06,10207503,4897053931,480.5,484.0,475.0,477.0,2.0,7594
168,2010-09-07,7497663,3587065099,480.5,483.0,472.0,472.0,-5.0,5859
169,2010-09-08,6757636,3187974148,473.0,479.5,467.0,467.0,-5.0,5163
170,2010-09-09,6984236,3260046108,470.0,474.5,461.5,461.5,-5.5,5111
171,2010-09-10,8254724,3869266400,466.0,476.0,460.0,475.0,13.5,6133
172,2010-09-13,9155676,4384171480,479.5,483.0,472.0,480.0,5.0,6902
173,2010-09-14,14946723,7341242655,484.5,498.5,484.5,485.0,5.0,10522
174,2010-09-15,13711831,6634068711,492.0,494.0,476.5,478.0,-7.0,9603
175,2010-09-16,8188349,3893532624,478.0,479.5,470.5,475.0,-3.0,5466
176,2010-09-17,12130911,5846814869,480.0,488.5,475.0,478.5,3.5,7508
177,2010-09-20,6068474,2883121650,476.0,477.5,473.0,473.5,-5.0,3867
178,2010-09-21,8682270,4129364480,475.5,483.0,472.0,472.0,-1.5,5987
179,2010-09-23,10978200,5124370258,472.0,472.0,464.0,465.0,-7.0,7196
180,2010-09-24,17365454,7863727676,460.0,463.5,445.0,446.0,-19.0,12257
181,2010-09-27,8431962,3800961824,450.0,455.0,446.5,452.0,6.0,6214
182,2010-09-28,8342859,3819591505,454.0,463.0,454.0,454.5,2.5,6066
183,2010-09-29,9429581,4255493912,458.0,458.5,448.0,449.0,-5.5,6321
184,2010-09-30,10386104,4608119234,451.0,452.0,438.0,439.0,-10.0,7281
185,2010-10-01,13576575,5981471993,437.0,449.0,430.5,449.0,10.0,9777
186,2010-10-04,14274110,6214366240,449.0,449.0,423.0,428.0,-21.0,10302
187,2010-10-05,15657585,6549409330,423.0,425.0,412.0,415.5,-12.5,10246
188,2010-10-06,11858389,4945218558,424.0,424.0,412.5,412.5,-3.0,8549
189,2010-10-07,9755533,4047352865,412.5,419.0,412.0,414.5,2.0,6086
190,2010-10-08,19542227,7956982029,414.5,416.0,401.5,410.0,-4.5,11216
191,2010-10-11,6473179,2663137748,410.0,414.5,408.5,410.0,0.0,4214
192,2010-10-12,10008158,4050299674,410.0,413.0,401.0,401.0,-9.0,6811
193,2010-10-13,9210860,3718080020,401.0,407.0,401.0,405.0,4.0,5844
194,2010-10-14,9367684,3823729704,409.0,412.0,404.0,404.0,-1.0,5570
195,2010-10-15,13374829,5272925126,401.0,403.0,390.0,390.0,-14.0,9522
196,2010-10-18,13682502,5224026260,390.0,392.5,376.0,376.0,-14.0,10264
197,2010-10-19,11006612,4203866284,376.0,388.0,372.0,380.5,4.5,7780
198,2010-10-20,11725254,4559846076,380.0,394.0,378.5,392.5,12.0,8327
199,2010-10-21,9435865,3675093620,394.0,395.0,386.0,387.0,-5.5,6346
200,2010-10-22,7146883,2771465394,392.5,392.5,382.5,387.0,0.0,4775
201,2010-10-25,6582630,2589838110,390.0,396.5,389.0,395.0,8.0,4715
202,2010-10-26,4277923,1680229085,396.0,396.5,390.0,393.0,-2.0,3308
203,2010-10-27,8172843,3159225055,391.0,392.0,382.5,383.0,-10.0,6414
204,2010-10-28,8635935,3364232620,385.0,392.0,385.0,391.0,8.0,5498
205,2010-10-29,7817027,3023729422,389.5,391.0,384.5,385.0,-6.0,5473
206,2010-11-01,14517968,5681196351,380.0,399.0,380.0,393.5,8.5,10631
207,2010-11-02,15188732,5849656416,388.0,391.0,380.0,387.5,-6.0,9855
208,2010-11-03,13680862,5365303105,390.0,397.0,385.0,393.0,5.5,9644
209,2010-11-04,12689578,5118550356,397.0,408.0,396.0,402.0,9.0,9561
210,2010-11-05,14874643,5946621914,408.0,408.0,396.0,396.0,-6.0,8670
211,2010-11-08,10593329,4100101931,391.0,393.0,385.0,385.0,-11.0,7864
212,2010-11-09,6257133,2415211125,385.0,391.0,382.0,382.5,-2.5,4934
213,2010-11-10,6593788,2521353311,384.5,385.0,380.5,381.0,-1.5,4736
214,2010-11-11,6450484,2475436856,381.0,387.0,381.0,382.0,1.0,4780
215,2010-11-12,6552489,2484395521,381.0,381.5,376.5,378.0,-4.0,4830
216,2010-11-15,4657187,1775267505,378.0,384.0,378.0,380.0,2.0,3377
217,2010-11-16,8804433,3417109638,382.0,393.0,382.0,385.0,5.0,6534
218,2010-11-17,5558852,2132940425,383.0,387.0,381.0,383.0,-2.0,4105
219,2010-11-18,7465262,2813402346,385.0,387.0,380.0,380.5,-2.5,4543
220,2010-11-19,8365721,3217243469,382.0,388.0,381.0,382.5,2.0,6142
221,2010-11-22,11764899,4572522401,384.0,396.0,381.5,396.0,13.5,8735
222,2010-11-23,24229974,9779382600,398.0,410.0,398.0,399.0,3.0,16489
223,2010-11-24,12048520,4845372020,399.0,405.0,399.0,400.0,1.0,7764
224,2010-11-25,9713015,3872648451,403.0,404.0,395.0,397.0,-3.0,7320
225,2010-11-26,10175815,4090295030,402.0,406.0,398.0,398.0,1.0,7537
226,2010-11-29,7727602,3068600994,401.0,403.5,395.0,395.0,-3.0,5691
227,2010-11-30,9800778,3877468032,396.0,401.5,390.5,390.5,-4.5,6669
228,2010-12-01,6347377,2487050038,391.5,395.5,390.0,391.5,1.0,4924
229,2010-12-02,10379385,4127516075,395.0,402.0,394.0,395.0,3.5,7613
230,2010-12-03,32647779,13503347561,402.0,422.5,402.0,422.5,27.5,22884
231,2010-12-06,21020234,8993585716,430.0,433.5,423.0,423.5,1.0,14414
232,2010-12-07,9579206,4007407291,419.0,422.0,415.0,419.5,-4.0,7320
233,2010-12-08,12966076,5541688224,420.0,432.5,420.0,424.0,4.5,9665
234,2010-12-09,9424864,4034131455,430.0,431.5,425.5,426.0,2.0,6815
235,2010-12-10,9570150,4025098500,426.0,429.0,416.0,418.0,-8.0,7364
236,2010-12-13,8285990,3528068720,421.0,429.5,418.5,428.0,10.0,6424
